draft_id,draft_time,clock,tournament_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
ac534e03-82b1-4b13-a6c8-f47ae2dd1e80,2021-08-14 22:07:23.137758-05,30,440eb5bd-8a80-4762-ba65-7c655bd1a2e4,1,Antonio Gibson,RB,9,15.95,10,15,2,134.7,1681.42,1
b538a8c8-2d2e-4a6a-a955-cc3106822a53,2021-08-27 20:22:50.535338-05,30,00a83c3b-331f-46ca-8d95-0707e147d93a,1,Jared Cook,TE,7,172.28,8,176,15,51.7,1696.02,1
c857f6de-c190-4655-ae8d-6ba9371daf94,2021-08-02 13:49:10.609096-05,28800,bb68fb72-1d6d-4bc0-b85b-964d08ca6aab,1,Gerald Everett,TE,9,145.26,7,138,12,29.1,1777.94,1
d4fa7509-287e-45ef-bdf2-1333849567f7,2021-05-14 22:32:23.11693-05,28800,b5381e55-751f-4be9-80ec-f56b985f62bb,1,Lamar Jackson,QB,8,55.37,9,64,6,163.88,1884.42,1
d51237f7-60a2-4fcf-b2d1-cdf2ff39c341,2021-07-31 02:53:02.477038-05,30,d241e8ab-ec46-4101-84ec-3b222910c24e,1,Mark Andrews,TE,8,60.13,10,63,6,152.1,1678.24,1
cddda116-3307-484b-b188-f5665df7c737,2021-09-08 04:34:39.625521-05,30,911942e2-4912-425a-b357-b5c68599fb32,1,Saquon Barkley,RB,10,12.47,9,9,1,81.5,1714.8,1
ce283152-31fa-4de5-a7b0-9a6eb4b15b9c,2021-07-21 23:07:34.584057-05,30,20273c6d-c628-4da9-9209-c3cd606e028c,1,Mark Andrews,TE,8,59.97,12,60,5,161.9,1799.08,1
b88fa5b9-824b-4536-bd89-fbf7f528a4f0,2021-08-22 15:43:40.321951-05,30,15ecb909-c22c-4ac9-a011-fdf02144caae,1,Antonio Gibson,RB,9,15.74,7,18,2,113,1753.86,1
bc9d2a3c-52fb-4d7c-955a-0267a53c1287,2021-08-12 00:38:34.154745-05,30,e459f351-9c6e-4260-9f76-1769fd4f68a0,1,DeAndre Hopkins,WR,12,14.8,6,19,2,126.2,1645.44,1
b92674b2-e678-4cad-94ae-ec9b6da78095,2021-05-19 15:26:21.67325-05,30,3bfe91b5-1d27-4229-82b9-c47ae8799220,1,Mark Andrews,TE,8,60.7,12,61,6,129.6,1683.38,1
b98ec43d-dbd3-421f-9278-fcfa64c86faf,2021-08-28 13:05:35.036817-05,30,51213f84-838d-4a02-84f8-b828ea69a3d1,1,Rhamondre Stevenson,RB,14,171.55,7,175,15,66.5,1822.8,1
cf97a052-dd15-4d7e-8912-2780298cb0b2,2021-09-07 01:36:58.752494-05,30,adf9633c-b4b1-40d0-9d79-89ac18967036,1,Byron Pringle,WR,12,185.66,5,197,17,25.9,1740.12,1
cfb93ded-1944-40c6-aee8-e8317d01cfe4,2021-08-27 02:43:41.649005-05,30,d00d1c68-1c45-4a53-8ac0-5ca3fada5fe6,1,Jamison Crowder,WR,6,168.7,9,184,16,61.4,1876.72,1
d0f9a9a7-8d43-43d7-8917-ee02086e13ed,2021-07-30 18:46:03.756338-05,30,7fe4582a-ce45-4907-9550-dc82f81c19f3,1,Tyler Boyd,WR,10,74.31,9,81,7,70.54,1828.8,1
cfc17229-8181-4bbb-95d0-7b832b7b5212,2021-07-02 10:44:23.669897-05,28800,dd2f6b5a-f676-4ace-a9b3-0e27481a0a6b,1,Antonio Gibson,RB,9,16.88,8,17,2,151.7,1626.88,1
d7199ec4-2a03-415e-a4fc-f5ee46b8fdd2,2021-08-24 01:08:51.83661-05,30,6455992c-4269-4f86-a649-1ef2630be953,1,Deebo Samuel,WR,6,65.65,8,65,6,200.8,1832.6,1
de66e32e-ffd6-46ff-80ab-43f189d16832,2021-08-30 14:32:28.563232-05,30,2074e3af-9e97-4cf8-94af-5e55f58d3f02,1,Devin Singletary,RB,7,131.94,6,126,11,58.2,1827.76,1
e819c5ca-6007-44fc-8ea2-32894fb2f219,2021-06-26 15:35:40.123978-05,30,bc8f5ef4-bd80-4069-aa99-0b4a1d77bac2,1,Josh Allen,QB,7,50.6,6,54,5,238.44,1795.88,1
def6037b-90ed-4a70-b0f8-b4c72cf6743d,2021-07-22 12:45:57.518777-05,30,ae478967-d43e-4270-8e62-9594d7d90f1a,1,Byron Pringle,WR,12,208.55,7,210,18,46.9,1730.9,1
e4058fa5-5fe8-40fe-a703-0f008dd8bc18,2021-05-31 01:32:48.365447-05,30,24c0e426-2da5-4aa8-979a-9e01ac342fc5,1,Gerald Everett,TE,9,164.88,5,164,14,47.9,1668.02,1
e4182fee-b2ac-48f6-bd8d-702d70a3e8bc,2021-07-20 01:27:38.724697-05,28800,850bad6a-685a-4a47-9712-eb9d1ff92065,1,Alexander Mattison,RB,7,151.11,5,140,12,70.5,1644.94,1
e418fc4a-2cc4-47de-a901-2bb039a12cd8,2021-05-21 16:31:15.351556-05,30,baf65203-03bd-4371-be0d-0aa812bf787a,1,Kadarius Toney,WR,10,179.19,10,178,15,44.2,1724.3,1
f0fd3a5a-743c-4d8a-ad1e-7f238f7bec80,2021-05-24 00:41:53.210323-05,28800,fe5cd062-8a13-4bf4-9583-e1a70e4d1688,1,Terrace Marshall,WR,13,154.75,12,133,12,6.8,1662.74,1
df7d48db-da27-4555-9875-91ebd5bd915d,2021-07-17 03:02:47.420984-05,30,3331bad0-dde3-4fe6-a169-cbc64aa2794e,1,Tre'Quan Smith,WR,6,143.76,7,138,12,28.1,1758.18,1
df7e5709-cb07-4342-a561-edb1785e8ab2,2021-07-23 09:45:58.091278-05,30,d05fd141-aa9d-4a01-8a56-505b69ff7b61,1,Marquez Valdes-Scantling,WR,13,176.38,12,181,16,20.3,1717.7,1
e012d3fd-da90-4ef2-9ed0-e317ca03a601,2021-05-14 22:15:55.727041-05,30,f58ae97c-a188-4dcb-99b9-5653bd511426,1,Raheem Mostert,RB,6,78.12,11,83,7,0,1657.24,1
e91fd516-32e2-4985-b6eb-eb5868190345,2021-08-09 14:01:05.529891-05,14400,f95fa802-77f5-4f21-8aca-b3ee3a841f53,1,Julio Jones,WR,13,39.18,10,39,4,15.8,1934.62,1
e9436682-8f92-4928-95c3-91ad7df9f612,2021-05-15 23:28:55.623936-05,30,b47a8b19-8672-404e-a471-c8ea96575b27,1,Marvin Jones,WR,7,122.86,10,130,11,79.9,1744.86,1
e10b6e99-5254-4c85-b6b9-9e65e0dc888c,2021-08-03 01:43:24.354876-05,30,95b064f4-ab0b-443b-b578-528e07dfb6d7,1,Tee Higgins,WR,10,46.41,1,48,4,86.4,1807.52,1
f1b38eba-5f65-4671-8ec1-90109df12e8a,2021-06-13 22:10:56.93794-05,30,ac38756f-18f8-42bc-885b-8a2cdba25770,1,Sterling Shepard,WR,10,169.26,8,161,14,46.4,1874.06,1
e533b93d-25f3-4d4a-98a0-0ec784eabc8b,2021-08-24 14:40:52.552017-05,30,fda9582d-7565-46fb-b39a-c9d1f89278e4,1,James Conner,RB,12,118.14,2,119,10,194.1,1681.24,1
ed8799e2-1086-4bb0-8d7b-1b9e914756fc,2021-07-22 23:47:53.68523-05,30,b47cd827-5472-4af8-99f5-8b2fd43df6d9,1,Trevor Lawrence,QB,7,125.93,6,139,12,31.34,1855.6,1
ea0bab75-8f96-44b1-85fc-32e0f400fcb5,2021-08-17 18:50:16.219247-05,14400,938a54a4-c16f-405f-afec-05cc96407014,1,Damien Williams,RB,10,161.34,8,161,14,29.4,1837.76,1
ea1d2ddf-8ebc-49c9-a1a8-ad0aaa1dd9b6,2021-07-29 23:51:27.727349-05,30,dc54a8d9-4814-43be-806f-e92d071731dc,1,Emmanuel Sanders,WR,7,139.53,6,139,12,81.3,1846.84,1
e193e04e-7b7d-4962-b71a-314159d6bc2a,2021-08-18 03:36:03.209983-05,30,89245886-4244-40c7-90a3-cacf23ff212b,1,Terrace Marshall,WR,13,124.61,11,131,11,0,1821.04,1
f6ee88ac-3a02-41ff-8640-18d029da3720,2021-08-26 16:26:11.350326-05,30,7a327db6-35b2-40ec-89f7-a889a34941a2,1,Rashaad Penny,RB,9,177.67,7,186,16,33.9,1703.04,1
ee741d92-396f-4baf-bf91-dc0af8f1308e,2021-07-29 01:27:29.885078-05,30,67bd4aa8-50a6-4591-ae7b-c2514aaa2e20,1,Christian Kirk,WR,12,155.28,11,158,14,77.82,1900.98,1
ea484e0a-06ff-4e7c-b55c-cf32c47f759e,2021-08-14 01:42:23.453808-05,30,7fed4d5f-3c16-47b6-8ab7-ff425308268b,1,Deebo Samuel,WR,6,65.49,10,63,6,217.3,1845.7,1
f7b2833f-e5a9-46cd-a3c3-6a8ed93448a0,2021-09-01 03:28:16.662089-05,30,86995732-bbf8-4517-b960-1a8cc5dec419,1,Jaylen Waddle,WR,14,92.35,6,102,9,136.4,1811.98,1
eee5984c-c2b4-4eb8-8892-9b9a5021b8e0,2021-08-24 18:56:54.800578-05,30,76f3c003-0616-4712-b658-22ba23d251e8,1,Justin Jackson,RB,7,212.05,12,205,18,7.8,1589.9,1
dd7cc88a-501c-4162-92de-bcf5a7ca5343,2021-07-30 00:20:57.199787-05,30,0a0519dc-e8cd-4e96-b8b7-8760b387a0a9,1,Joe Mixon,RB,10,17.83,12,13,2,177.6,1938.16,1
fad7a728-625b-4323-b18d-85f7769a7b47,2021-08-14 02:34:58.624864-05,30,da5bd0f2-119f-4bbe-b3dc-f3448cbebc35,1,Damien Harris,RB,14,84.5,9,88,8,117.8,1904.66,1
fd920522-38fc-4693-b262-abecd5c4bae9,2021-08-10 23:11:32.588158-05,30,7a6787de-0063-417b-b9a6-5865103567c2,1,Mark Andrews,TE,8,60.32,12,60,5,163.2,1804.12,1
eaf194f1-ec42-4a1e-b5ac-6a08e1cc6337,2021-08-30 23:39:49.074345-05,30,810d4b76-a765-4d34-a96a-71a3597d2ce7,1,Mark Andrews,TE,8,58.71,11,59,5,152.1,1817.56,1
f01f26e7-d4ae-4295-b9bc-beaa7a39eb20,2021-08-05 00:41:36.148352-05,30,9f3338b5-c657-47be-b395-fcb79f989dac,1,DeSean Jackson,WR,8,193.93,10,202,17,19.5,1992.18,1
fe6f7d32-ec95-4c64-987a-68ee233392c8,2021-08-05 12:32:24.694076-05,28800,534e0de7-4975-49df-ad46-b8743a8c68db,1,DeAndre Hopkins,WR,12,15.31,11,14,2,98.4,1776.52,1
ffe300ff-79ea-4ad9-a8eb-87f17158c7de,2021-05-07 03:04:45.634578-05,30,3f2c51f4-cacb-46ca-8659-da82dcc3e286,1,Julio Jones,WR,13,39.88,10,39,4,37.6,1697.04,1
fd2873c9-b6a1-4ff5-946b-06119f443cee,2021-08-16 17:54:00.788868-05,30,c49458e4-535e-4ca7-bffe-a1ba8438fac6,1,Josh Jacobs,RB,8,56.04,11,62,6,131.6,1758.56,1
